mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2610007762908936,0.04124144196021634,0.023800420761108398,0.003429593545191394,True,balanced,gini,3,sqrt,2,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.6406779661016949,0.6632653061224489,0.5870307167235495,0.6791808873720137,0.6769759450171822,0.6493860845839018,0.03405175015074046,778,0.6626814688300597,0.6706484641638225,0.6734867860187553,0.6751918158567775,0.6638297872340425,0.6691676644206915,0.005053744075093108
0.43639912605285647,0.08344734287800833,0.041800642013549806,0.010759583003348786,True,balanced,gini,3,sqrt,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.6745762711864407,0.6768707482993197,0.6109215017064846,0.6825938566552902,0.711340206185567,0.6712141882673943,0.0328743363653288,626,0.7105038428693424,0.6791808873720137,0.7092924126172208,0.6513213981244672,0.6885106382978723,0.6877618358561832,0.021830545127015204
0.5895999431610107,0.05714054116300881,0.05579838752746582,0.004955611190656582,True,balanced,gini,3,sqrt,2,150,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",0.6440677966101694,0.6632653061224489,0.6006825938566553,0.6860068259385665,0.7044673539518901,0.6596180081855388,0.03583270042123128,706,0.6848847139197267,0.6629692832764505,0.6922421142369991,0.6624040920716112,0.6578723404255319,0.672074508786064,0.013776482441785266
0.7495994567871094,0.04792791149110018,0.0792008399963379,0.016289985548594184,True,balanced,gini,3,sqrt,2,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.6338983050847458,0.6666666666666666,0.6040955631399317,0.6621160409556314,0.7044673539518901,0.6541609822646658,0.033614680283436595,738,0.6968403074295474,0.6706484641638225,0.6930946291560103,0.6530264279624893,0.6851063829787234,0.6797432423381187,0.01609866828438871
0.2154006004333496,0.03190327433040479,0.02339925765991211,0.003199470089708423,True,balanced,gini,3,sqrt,3,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 50}",0.6406779661016949,0.6564625850340136,0.621160409556314,0.6518771331058021,0.6494845360824743,0.6439290586630286,0.012489761398407285,810,0.659265584970111,0.6407849829351536,0.690537084398977,0.6112531969309463,0.6434042553191489,0.6490490209108674,0.025901040927888246
0.3879992008209229,0.03756047497719232,0.04540033340454101,0.009046900596762771,True,balanced,gini,3,sqrt,3,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 100}",0.6271186440677966,0.6496598639455783,0.6313993174061433,0.6757679180887372,0.6907216494845361,0.654843110504775,0.02475762632323795,734,0.6567036720751495,0.6476109215017065,0.690537084398977,0.6504688832054561,0.668936170212766,0.662851346278811,0.015664705645683775
0.5598002910614014,0.009345849174001213,0.05579862594604492,0.0027858561837563185,True,balanced,gini,3,sqrt,3,150,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 150}",0.6440677966101694,0.673469387755102,0.6177474402730375,0.6962457337883959,0.6907216494845361,0.6643929058663028,0.02957864336741701,664,0.6874466268146883,0.681740614334471,0.7033248081841432,0.6547314578005116,0.6851063829787234,0.6824699780225074,0.015726405061933568
0.7502000808715821,0.04426891573207952,0.06840038299560547,0.0014970390104198062,True,balanced,gini,3,sqrt,3,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 3, 'n_estimators': 200}",0.6372881355932203,0.6768707482993197,0.6109215017064846,0.7030716723549488,0.6357388316151202,0.6527967257844475,0.03283323220363953,754,0.695132365499573,0.6544368600682594,0.6820119352088662,0.6581415174765558,0.6476595744680851,0.667476450544268,0.018033360302668517
0.1930011749267578,0.009695532468852575,0.021199750900268554,0.0009793647917509755,True,balanced,gini,3,sqrt,5,50,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}",0.6338983050847458,0.6496598639455783,0.5870307167235495,0.6382252559726962,0.7044673539518901,0.6425648021828103,0.037496585672011,815,0.6652433817250214,0.6382252559726962,0.6521739130434783,0.6513213981244672,0.6868085106382978,0.6587544919007922,0.016426430454920503
0.355198335647583,0.013687930759865023,0.03579974174499512,0.0007485197216420992,True,balanced,gini,3,sqrt,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.6576271186440678,0.6564625850340136,0.5938566552901023,0.6723549488054608,0.6941580756013745,0.654843110504775,0.033369934946949766,734,0.672929120409906,0.6757679180887372,0.6768968456947997,0.6504688832054561,0.6859574468085107,0.6724040428414819,0.01180358104951327
