mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.072199821472168,0.013905627474831636,0.007798671722412109,0.0019405992041588375,friedman_mse,0.1,deviance,3,log2,0.1,0.1,100,0,0.5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'random_state': 0, 'subsample': 0.5}",0.6116071428571429,0.5758928571428571,0.5945945945945946,0.581081081081081,0.6244343891402715,0.5974842767295597,0.0182624562717494,1248,0.59392575928009,0.6119235095613048,0.6251402918069585,0.5970819304152637,0.5852017937219731,0.6026546569571181,0.014165922307209564
1.14739990234375,0.02484876559401281,0.008798694610595703,0.0019385676095533182,friedman_mse,0.1,deviance,3,log2,0.1,0.1,100,0,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'random_state': 0, 'subsample': 0.8}",0.6383928571428571,0.5803571428571429,0.6486486486486487,0.6081081081081081,0.6877828054298643,0.6325247079964061,0.03649267472834702,1110,0.6400449943757031,0.6501687289088864,0.6621773288439955,0.6520763187429854,0.6311659192825112,0.6471266580308164,0.010631755921156926
0.99939866065979,0.012595371624977784,0.006999874114990234,1.8069548913475433e-06,friedman_mse,0.1,deviance,3,log2,0.1,0.1,100,0,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'random_state': 0, 'subsample': 1.0}",0.625,0.6160714285714286,0.6576576576576577,0.6081081081081081,0.6787330316742082,0.6370170709793351,0.02673152236102499,1045,0.6389201349831272,0.6614173228346457,0.6689113355780022,0.6576879910213244,0.6423766816143498,0.6538626932062899,0.011431320815809732
1.6150016784667969,0.024242893139624386,0.006799030303955078,0.0007488512739289928,friedman_mse,0.1,deviance,3,log2,0.1,0.1,150,0,0.5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 150, 'random_state': 0, 'subsample': 0.5}",0.6428571428571429,0.5803571428571429,0.6081081081081081,0.5990990990990991,0.6334841628959276,0.6127583108715184,0.022813094801387403,1227,0.6152980877390326,0.6197975253093363,0.6318742985409652,0.622895622895623,0.6154708520179372,0.6210672773005788,0.006104921784357092
1.7107998371124267,0.03923036854300591,0.007599830627441406,0.0004885298731135113,friedman_mse,0.1,deviance,3,log2,0.1,0.1,150,0,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 150, 'random_state': 0, 'subsample': 0.8}",0.6383928571428571,0.6160714285714286,0.6486486486486487,0.5900900900900901,0.6968325791855203,0.637915543575921,0.035560259489349336,1018,0.6501687289088864,0.6647919010123734,0.6666666666666666,0.6655443322109988,0.6401345291479821,0.6574612315893814,0.010556613828764551
1.5404005527496338,0.025097095156212494,0.00899972915649414,0.0006345280252171737,friedman_mse,0.1,deviance,3,log2,0.1,0.1,150,0,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 150, 'random_state': 0, 'subsample': 1.0}",0.6205357142857143,0.6428571428571429,0.6486486486486487,0.5945945945945946,0.6877828054298643,0.6388140161725068,0.030918925308746098,969,0.6501687289088864,0.6636670416197975,0.6588103254769921,0.6677890011223344,0.6502242152466368,0.6581318624749295,0.00707532653584156
2.1326011180877686,0.04842519215272985,0.008401298522949218,0.001495982133687977,friedman_mse,0.1,deviance,3,log2,0.1,0.1,200,0,0.5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 200, 'random_state': 0, 'subsample': 0.5}",0.6160714285714286,0.5803571428571429,0.6126126126126126,0.5855855855855856,0.6561085972850679,0.610062893081761,0.02695657816768623,1240,0.6242969628796401,0.6186726659167604,0.6352413019079686,0.6341189674523008,0.6042600896860987,0.6233179975685537,0.011354007828881619
2.2810011863708497,0.03672459194229288,0.009599876403808594,0.000800348100565551,friedman_mse,0.1,deviance,3,log2,0.1,0.1,200,0,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 200, 'random_state': 0, 'subsample': 0.8}",0.6383928571428571,0.6160714285714286,0.6486486486486487,0.5945945945945946,0.7013574660633484,0.6397124887690926,0.0359074737182309,946,0.6569178852643419,0.6636670416197975,0.6722783389450057,0.67003367003367,0.6446188340807175,0.6615031539887065,0.00999661615293668
2.025600242614746,0.014678680750450557,0.011399459838867188,0.002728393469487338,friedman_mse,0.1,deviance,3,log2,0.1,0.1,200,0,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 200, 'random_state': 0, 'subsample': 1.0}",0.6339285714285714,0.625,0.6351351351351351,0.6036036036036037,0.6923076923076923,0.637915543575921,0.029335789694901422,1018,0.6625421822272216,0.6659167604049494,0.6734006734006734,0.6778900112233446,0.649103139013453,0.6657705532539284,0.00993324165020567
1.0114008903503418,0.025389913393045284,0.007199335098266602,0.0026383988199617423,friedman_mse,0.1,deviance,3,log2,0.1,0.5,100,0,0.5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'random_state': 0, 'subsample': 0.5}",0.5535714285714286,0.5535714285714286,0.5585585585585585,0.5585585585585585,0.6153846153846154,0.5678346810422282,0.023773150760587006,1417,0.5568053993250843,0.5568053993250843,0.5555555555555556,0.5555555555555556,0.5728699551569507,0.5595183729836462,0.00669914983578307
