mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_multi_class,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.23580684661865234,0.01698584910272922,0.007799530029296875,0.00430882115330412,0.1,balanced,1000,ovr,l2,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'lbfgs'}",0.7322033898305085,0.7278911564625851,0.6552901023890785,0.7054794520547946,0.7328767123287672,0.7107776261937244,0.02948438684187614,69,0.7421007685738685,0.7372013651877133,0.7536231884057971,0.7427597955706985,0.7257240204429302,0.7402818276362015,0.009042784721275078
13.582397651672363,0.11210770521723193,0.007398796081542969,0.002798702857254078,0.1,balanced,1000,ovr,l2,sag,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'sag'}",0.7220338983050848,0.7244897959183674,0.6348122866894198,0.684931506849315,0.6541095890410958,0.6841746248294679,0.03579840064586335,89,0.7335610589239966,0.734641638225256,0.7468030690537084,0.7299829642248722,0.666098807495741,0.7222175075847149,0.028625498522863033
0.5921977996826172,0.029707899824702438,0.0034028053283691405,0.0004910726081180226,0.1,balanced,1000,ovr,l2,newton-cg,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'newton-cg'}",0.7322033898305085,0.7278911564625851,0.6552901023890785,0.7054794520547946,0.7328767123287672,0.7107776261937244,0.02948438684187614,69,0.7421007685738685,0.7372013651877133,0.7536231884057971,0.7427597955706985,0.7257240204429302,0.7402818276362015,0.009042784721275078
0.18160324096679686,0.011047731698496314,0.0031958103179931642,0.0007433414963931373,0.1,balanced,1000,multinomial,l2,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.6949152542372882,0.7074829931972789,0.6279863481228669,0.684931506849315,0.7363013698630136,0.6903137789904502,0.03559213885300531,84,0.7335610589239966,0.7261092150170648,0.7365728900255755,0.7189097103918228,0.7137989778534923,0.7257903704423903,0.008577703292318892
23.0125985622406,0.07986302133998135,0.003999900817871094,0.00109680444391558,0.1,balanced,1000,multinomial,l2,sag,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'sag'}",0.7186440677966102,0.7040816326530612,0.621160409556314,0.684931506849315,0.726027397260274,0.6909959072305594,0.037611955986767226,83,0.7361229718189581,0.7167235494880546,0.7203751065643649,0.7206132879045997,0.7052810902896082,0.7198232012131172,0.009876155013244313
0.25479950904846194,0.012873531629502426,0.003398704528808594,0.0008003498761478185,0.1,balanced,1000,multinomial,l2,newton-cg,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'newton-cg'}",0.6949152542372882,0.7074829931972789,0.6279863481228669,0.684931506849315,0.7363013698630136,0.6903137789904502,0.03559213885300531,84,0.7335610589239966,0.7261092150170648,0.7365728900255755,0.7189097103918228,0.7137989778534923,0.7257903704423903,0.008577703292318892
0.14059877395629883,0.007965738385387586,0.004197311401367187,0.0009732196332063533,0.1,,1000,ovr,l2,lbfgs,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'lbfgs'}",0.7152542372881356,0.7448979591836735,0.6655290102389079,0.7157534246575342,0.726027397260274,0.713506139154161,0.026277802050385386,62,0.740392826643894,0.7406143344709898,0.7493606138107417,0.737649063032368,0.7342419080068143,0.7404517491929615,0.005016272558171223
0.948394775390625,0.05453296344462385,0.0036001682281494142,0.0004903107010505364,0.1,,1000,ovr,l2,sag,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'sag'}",0.7152542372881356,0.7448979591836735,0.6655290102389079,0.7157534246575342,0.726027397260274,0.713506139154161,0.026277802050385386,62,0.740392826643894,0.7406143344709898,0.7493606138107417,0.737649063032368,0.7342419080068143,0.7404517491929615,0.005016272558171223
0.5623991966247559,0.0303969744225614,0.0029997825622558594,4.775518783017838e-06,0.1,,1000,ovr,l2,newton-cg,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'newton-cg'}",0.7152542372881356,0.7448979591836735,0.6655290102389079,0.7157534246575342,0.726027397260274,0.713506139154161,0.026277802050385386,62,0.740392826643894,0.7406143344709898,0.7493606138107417,0.737649063032368,0.7342419080068143,0.7404517491929615,0.005016272558171223
0.17499723434448242,0.011154188446682037,0.003799104690551758,0.0007484962797730513,0.1,,1000,multinomial,l2,lbfgs,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.7220338983050848,0.7380952380952381,0.6825938566552902,0.7191780821917808,0.7397260273972602,0.7203274215552524,0.020583579205478104,51,0.7497865072587532,0.7508532423208191,0.763000852514919,0.7614991482112436,0.7614991482112436,0.7573277797033958,0.005758034560231174
