mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_decision_function_shape,param_gamma,param_kernel,param_random_state,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5399997711181641,0.03159935097177078,0.07960209846496583,0.0060545031197324715,0.1,balanced,ovo,scale,linear,0,,"{'C': 0.1, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear', 'random_state': 0}",0.6651785714285714,0.7053571428571429,0.6891891891891891,0.6081081081081081,0.6380090497737556,0.6612758310871518,0.03494110810697164,203,0.6929133858267716,0.6951631046119235,0.6812570145903479,0.7070707070707071,0.6748878923766816,0.6902584208952864,0.011234199481936697
0.48439669609069824,0.01829628514964984,0.07500286102294922,0.002761263654497162,0.1,balanced,ovo,auto,linear,0,,"{'C': 0.1, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'linear', 'random_state': 0}",0.6651785714285714,0.7053571428571429,0.6891891891891891,0.6081081081081081,0.6380090497737556,0.6612758310871518,0.03494110810697164,203,0.6929133858267716,0.6951631046119235,0.6812570145903479,0.7070707070707071,0.6748878923766816,0.6902584208952864,0.011234199481936697
0.4928023338317871,0.021366509878031827,0.08299736976623535,0.017019204384513903,0.1,balanced,ovr,scale,linear,0,,"{'C': 0.1, 'class_weight': 'balanced', 'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'linear', 'random_state': 0}",0.6651785714285714,0.7053571428571429,0.6891891891891891,0.6081081081081081,0.6380090497737556,0.6612758310871518,0.03494110810697164,203,0.6929133858267716,0.6951631046119235,0.6812570145903479,0.7070707070707071,0.6748878923766816,0.6902584208952864,0.011234199481936697
0.4997994899749756,0.02002701801124371,0.08920049667358398,0.011969269506508968,0.1,balanced,ovr,auto,linear,0,,"{'C': 0.1, 'class_weight': 'balanced', 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear', 'random_state': 0}",0.6651785714285714,0.7053571428571429,0.6891891891891891,0.6081081081081081,0.6380090497737556,0.6612758310871518,0.03494110810697164,203,0.6929133858267716,0.6951631046119235,0.6812570145903479,0.7070707070707071,0.6748878923766816,0.6902584208952864,0.011234199481936697
0.39080276489257815,0.017705730230800777,0.07519764900207519,0.0100082504022699,0.1,,ovo,scale,linear,0,,"{'C': 0.1, 'class_weight': None, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear', 'random_state': 0}",0.6785714285714286,0.7142857142857143,0.7252252252252253,0.6846846846846847,0.7375565610859729,0.7079964061096137,0.02287620900615003,77,0.7649043869516311,0.7716535433070866,0.7631874298540965,0.7777777777777778,0.7488789237668162,0.7652804123314817,0.00969878074197243
0.410402250289917,0.03763355884946782,0.07520093917846679,0.013599759656095433,0.1,,ovo,auto,linear,0,,"{'C': 0.1, 'class_weight': None, 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'linear', 'random_state': 0}",0.6785714285714286,0.7142857142857143,0.7252252252252253,0.6846846846846847,0.7375565610859729,0.7079964061096137,0.02287620900615003,77,0.7649043869516311,0.7716535433070866,0.7631874298540965,0.7777777777777778,0.7488789237668162,0.7652804123314817,0.00969878074197243
0.412402868270874,0.05551532818767102,0.07639918327331544,0.012041090999902648,0.1,,ovr,scale,linear,0,,"{'C': 0.1, 'class_weight': None, 'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'linear', 'random_state': 0}",0.6785714285714286,0.7142857142857143,0.7252252252252253,0.6846846846846847,0.7375565610859729,0.7079964061096137,0.02287620900615003,77,0.7649043869516311,0.7716535433070866,0.7631874298540965,0.7777777777777778,0.7488789237668162,0.7652804123314817,0.00969878074197243
0.380001163482666,0.01667603309899903,0.07300024032592774,0.0057596838059855255,0.1,,ovr,auto,linear,0,,"{'C': 0.1, 'class_weight': None, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear', 'random_state': 0}",0.6785714285714286,0.7142857142857143,0.7252252252252253,0.6846846846846847,0.7375565610859729,0.7079964061096137,0.02287620900615003,77,0.7649043869516311,0.7716535433070866,0.7631874298540965,0.7777777777777778,0.7488789237668162,0.7652804123314817,0.00969878074197243
0.4655977725982666,0.05446555510013261,0.07960300445556641,0.017210065416976644,0.6,balanced,ovo,scale,linear,0,,"{'C': 0.6, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear', 'random_state': 0}",0.6875,0.6875,0.6981981981981982,0.6171171171171171,0.6515837104072398,0.6684636118598383,0.030077659899951703,187,0.7581552305961755,0.734533183352081,0.7306397306397306,0.7586980920314254,0.7365470852017937,0.7437146643642413,0.01216273599387552
0.44860091209411623,0.03985593839840468,0.07139759063720703,0.005608295655209857,0.6,balanced,ovo,auto,linear,0,,"{'C': 0.6, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'linear', 'random_state': 0}",0.6875,0.6875,0.6981981981981982,0.6171171171171171,0.6515837104072398,0.6684636118598383,0.030077659899951703,187,0.7581552305961755,0.734533183352081,0.7306397306397306,0.7586980920314254,0.7365470852017937,0.7437146643642413,0.01216273599387552
