mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.41920318603515627,0.017406194679404036,0.03959970474243164,0.0013574097377355404,True,balanced,gini,5,sqrt,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.6949152542372882,0.7016949152542373,0.6462585034013606,0.7044673539518901,0.711340206185567,0.6916780354706685,0.023349946113584083,641,0.7421007685738685,0.7198975234842016,0.7585324232081911,0.7251063829787234,0.7182978723404255,0.7327869941170821,0.015392455322206166
0.6449980735778809,0.017410476280003456,0.0638007640838623,0.004260951769420652,True,balanced,gini,5,sqrt,2,150,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150}",0.6949152542372882,0.6847457627118644,0.6462585034013606,0.7457044673539519,0.7079037800687286,0.6957708049113234,0.032255100309651646,624,0.7591801878736123,0.7122117847993168,0.764505119453925,0.7353191489361702,0.6987234042553192,0.7339879290636687,0.025633993557742176
0.8676003456115723,0.02137760124294252,0.07659988403320313,0.004498993084041955,True,balanced,gini,5,sqrt,2,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.7016949152542373,0.7084745762711865,0.6836734693877551,0.7250859106529209,0.7216494845360825,0.7080491132332879,0.014887953722848804,520,0.7600341588385995,0.730999146029035,0.7636518771331058,0.7319148936170212,0.7251063829787234,0.742341291719297,0.01613427855915908
0.43059959411621096,0.015212944296736418,0.04540019035339356,0.005678504818892465,True,balanced,gini,5,sqrt,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.6949152542372882,0.711864406779661,0.6564625850340136,0.697594501718213,0.7457044673539519,0.7012278308321964,0.028774119404534157,578,0.7497865072587532,0.713065755764304,0.7508532423208191,0.723404255319149,0.7353191489361702,0.734485781919839,0.014726290834857601
0.6436009883880616,0.021067417689245197,0.060599660873413085,0.0031991871455180777,True,balanced,gini,5,sqrt,5,150,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 150}",0.7084745762711865,0.7152542372881356,0.6598639455782312,0.718213058419244,0.7491408934707904,0.7100954979536153,0.028768096709064703,513,0.7438087105038429,0.7233134073441503,0.7465870307167235,0.7429787234042553,0.731063829787234,0.7375503403512413,0.008888885116190874
0.8420010089874268,0.022115840681372713,0.0848008155822754,0.005672848136048261,True,balanced,gini,5,sqrt,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.7050847457627119,0.7186440677966102,0.6598639455782312,0.697594501718213,0.711340206185567,0.6984993178717599,0.020558039528191737,606,0.7327070879590094,0.7241673783091375,0.7534129692832765,0.7242553191489361,0.7157446808510638,0.7300574871102847,0.012850789002590816
0.3903982639312744,0.01473401987690619,0.0462005615234375,0.005114459497982077,True,balanced,gini,5,log2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.7050847457627119,0.7288135593220338,0.6224489795918368,0.7216494845360825,0.7250859106529209,0.7005457025920873,0.03995041244604925,586,0.7472245943637916,0.7472245943637916,0.7619453924914675,0.7523404255319149,0.7531914893617021,0.7523852992225335,0.005390975584760223
0.5702008247375489,0.024062176690469953,0.056800031661987306,0.0024820508738589123,True,balanced,gini,5,log2,2,150,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 150}",0.6983050847457627,0.7220338983050848,0.6496598639455783,0.7491408934707904,0.7594501718213058,0.7155525238744884,0.0393128826055439,493,0.762596071733561,0.762596071733561,0.7721843003412969,0.7693617021276595,0.7557446808510638,0.7644965653574285,0.005772175662897244
0.7510000228881836,0.017134859448836002,0.07619967460632324,0.005153110959842451,True,balanced,gini,5,log2,2,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.6949152542372882,0.7322033898305085,0.6530612244897959,0.7319587628865979,0.7285223367697594,0.7080491132332879,0.030905908100158096,520,0.7617421007685738,0.7480785653287788,0.7832764505119454,0.7574468085106383,0.7412765957446809,0.7583641041729234,0.014357245878282663
0.3985999584197998,0.015969071194425418,0.04140005111694336,0.00313711227118954,True,balanced,gini,5,log2,5,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.6949152542372882,0.7186440677966102,0.6666666666666666,0.7147766323024055,0.718213058419244,0.7025920873124147,0.020011165964327945,566,0.7198975234842016,0.7685738684884714,0.765358361774744,0.7540425531914894,0.7353191489361702,0.7486382911750152,0.018491215909503162
