mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.2185993671417237,0.032726266113920016,0.008400154113769532,0.0007996801453423938,friedman_mse,0.1,deviance,3,log2,0.1,0.1,100,0.5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.5}",0.6101694915254238,0.5952380952380952,0.5870307167235495,0.5958904109589042,0.5753424657534246,0.5927694406548432,0.011452501173270796,1413,0.6071733561058924,0.6032423208191127,0.6453537936913896,0.5988074957410562,0.5911413969335605,0.6091436726582022,0.018872198868238304
1.2449997901916503,0.0509794789720823,0.008999013900756836,0.0012655362079915383,friedman_mse,0.1,deviance,3,log2,0.1,0.1,100,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 0.8}",0.6372881355932203,0.6462585034013606,0.5870307167235495,0.5958904109589042,0.6746575342465754,0.6282401091405184,0.03253598751834265,1250,0.6259607173356105,0.6331058020477816,0.6615515771526002,0.6379897785349233,0.6235093696763203,0.6364234489494471,0.013572952461600557
1.0751996040344238,0.023342843243328876,0.008999347686767578,0.0010953241289576464,friedman_mse,0.1,deviance,3,log2,0.1,0.1,100,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100, 'subsample': 1.0}",0.6474576271186441,0.6462585034013606,0.5699658703071673,0.6027397260273972,0.6883561643835616,0.630968622100955,0.04074366802511934,1228,0.64133219470538,0.6390784982935154,0.6606990622335891,0.6626916524701874,0.6286201022146508,0.6464843019834645,0.013154903191183398
1.8115995883941651,0.016703545223968563,0.00960078239440918,0.0016247898225840373,friedman_mse,0.1,deviance,3,log2,0.1,0.1,150,0.5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 150, 'subsample': 0.5}",0.5966101694915255,0.6156462585034014,0.6006825938566553,0.5821917808219178,0.6506849315068494,0.6091405184174625,0.02329823134164058,1335,0.6114432109308283,0.6040955631399317,0.6342710997442456,0.5996592844974447,0.606473594548552,0.6111885505722003,0.012151824434379494
1.8535999298095702,0.03368559527173471,0.009999990463256836,0.0016724298361796665,friedman_mse,0.1,deviance,3,log2,0.1,0.1,150,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 150, 'subsample': 0.8}",0.6406779661016949,0.6530612244897959,0.5870307167235495,0.6232876712328768,0.7054794520547946,0.6418826739427013,0.03874481067484921,1080,0.6532877882152007,0.6484641638225256,0.6564364876385337,0.6584327086882453,0.6431005110732538,0.6519443318875519,0.005557123501585974
1.6283992290496827,0.04629622320842731,0.01100020408630371,0.001096236642454265,friedman_mse,0.1,deviance,3,log2,0.1,0.1,150,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 150, 'subsample': 1.0}",0.6474576271186441,0.6564625850340136,0.590443686006826,0.636986301369863,0.678082191780822,0.6418826739427013,0.02904309750647752,1080,0.6507258753202391,0.6544368600682594,0.6624040920716112,0.666098807495741,0.6388415672913118,0.6545014404494325,0.00955449124827868
2.383199453353882,0.036672019740435234,0.00940113067626953,0.001355974989533521,friedman_mse,0.1,deviance,3,log2,0.1,0.1,200,0.5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 200, 'subsample': 0.5}",0.6135593220338983,0.6428571428571429,0.5870307167235495,0.6061643835616438,0.6746575342465754,0.6248294679399727,0.030662957514651045,1283,0.6327924850555081,0.6245733788395904,0.6419437340153452,0.6337308347529813,0.6226575809199318,0.6311396027166715,0.0069460167920230905
2.4231983184814454,0.04154265020392977,0.011001205444335938,0.001094583301750134,friedman_mse,0.1,deviance,3,log2,0.1,0.1,200,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 200, 'subsample': 0.8}",0.6406779661016949,0.6530612244897959,0.5870307167235495,0.6164383561643836,0.7054794520547946,0.640518417462483,0.03948898690580007,1109,0.6481639624252775,0.6459044368600683,0.6632566069906224,0.6465076660988075,0.6482112436115843,0.650408783197272,0.006487570073539637
2.13299880027771,0.016576529719975017,0.013000917434692384,0.0016724008872248668,friedman_mse,0.1,deviance,3,log2,0.1,0.1,200,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 200, 'subsample': 1.0}",0.6508474576271186,0.6564625850340136,0.5870307167235495,0.6335616438356164,0.6952054794520548,0.6446111869031378,0.03511158267973938,1016,0.6618274978650726,0.6510238907849829,0.6581415174765558,0.6592844974446337,0.6465076660988075,0.6553570139340106,0.005694429951098662
1.1639991283416748,0.025251172860748877,0.0065994739532470705,0.0004917723447414226,friedman_mse,0.1,deviance,3,log2,0.1,0.5,100,0.5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100, 'subsample': 0.5}",0.5423728813559322,0.5952380952380952,0.5426621160409556,0.5547945205479452,0.636986301369863,0.5743519781718963,0.03676371677408998,1427,0.5431255337318531,0.590443686006826,0.5430520034100597,0.5528109028960818,0.6124361158432708,0.5683736483776183,0.028104944917463202
