mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_decision_function_shape,param_gamma,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.8444088459014892,0.11167477424974605,0.13980669975280763,0.01633221545145826,0.1,balanced,ovo,scale,linear,,"{'C': 0.1, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.6576271186440678,0.6802721088435374,0.6279863481228669,0.6552901023890785,0.6769759450171822,0.6596180081855388,0.01870496413920215,221,0.6985482493595218,0.6885665529010239,0.7075873827791986,0.6982097186700768,0.6774468085106383,0.6940717424440919,0.010261871518153725
0.8504073143005371,0.049919907184064485,0.13519797325134278,0.011805442872606986,0.1,balanced,ovo,auto,linear,,"{'C': 0.1, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'linear'}",0.6576271186440678,0.6802721088435374,0.6279863481228669,0.6552901023890785,0.6769759450171822,0.6596180081855388,0.01870496413920215,221,0.6985482493595218,0.6885665529010239,0.7075873827791986,0.6982097186700768,0.6774468085106383,0.6940717424440919,0.010261871518153725
0.8694012641906739,0.07518473971597278,0.14079852104187013,0.013288278512880374,0.1,balanced,ovr,scale,linear,,"{'C': 0.1, 'class_weight': 'balanced', 'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'linear'}",0.6576271186440678,0.6802721088435374,0.6279863481228669,0.6552901023890785,0.6769759450171822,0.6596180081855388,0.01870496413920215,221,0.6985482493595218,0.6885665529010239,0.7075873827791986,0.6982097186700768,0.6774468085106383,0.6940717424440919,0.010261871518153725
0.8940021991729736,0.053214166662055834,0.13900132179260255,0.004243243756449699,0.1,balanced,ovr,auto,linear,,"{'C': 0.1, 'class_weight': 'balanced', 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear'}",0.6576271186440678,0.6802721088435374,0.6279863481228669,0.6552901023890785,0.6769759450171822,0.6596180081855388,0.01870496413920215,221,0.6985482493595218,0.6885665529010239,0.7075873827791986,0.6982097186700768,0.6774468085106383,0.6940717424440919,0.010261871518153725
0.7339955329895019,0.019552965834971237,0.1042055606842041,0.004399813683611677,0.1,,ovo,scale,linear,,"{'C': 0.1, 'class_weight': None, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.7220338983050848,0.7414965986394558,0.6655290102389079,0.7542662116040956,0.7525773195876289,0.7271487039563438,0.03287480049068049,113,0.762596071733561,0.7568259385665529,0.7604433077578857,0.7459505541346974,0.7480851063829788,0.7547801957151352,0.006635218328929779
0.6778056621551514,0.0480078661376845,0.10260009765625,0.010210774461839833,0.1,,ovo,auto,linear,,"{'C': 0.1, 'class_weight': None, 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'linear'}",0.7220338983050848,0.7414965986394558,0.6655290102389079,0.7542662116040956,0.7525773195876289,0.7271487039563438,0.03287480049068049,113,0.762596071733561,0.7568259385665529,0.7604433077578857,0.7459505541346974,0.7480851063829788,0.7547801957151352,0.006635218328929779
0.6236064434051514,0.020536069813486265,0.10099968910217286,0.023607430016000432,0.1,,ovr,scale,linear,,"{'C': 0.1, 'class_weight': None, 'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'linear'}",0.7220338983050848,0.7414965986394558,0.6655290102389079,0.7542662116040956,0.7525773195876289,0.7271487039563438,0.03287480049068049,113,0.762596071733561,0.7568259385665529,0.7604433077578857,0.7459505541346974,0.7480851063829788,0.7547801957151352,0.006635218328929779
0.6738000392913819,0.03035125254282672,0.11300349235534668,0.011243599428633675,0.1,,ovr,auto,linear,,"{'C': 0.1, 'class_weight': None, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'linear'}",0.7220338983050848,0.7414965986394558,0.6655290102389079,0.7542662116040956,0.7525773195876289,0.7271487039563438,0.03287480049068049,113,0.762596071733561,0.7568259385665529,0.7604433077578857,0.7459505541346974,0.7480851063829788,0.7547801957151352,0.006635218328929779
0.7682036876678466,0.012889931283420884,0.11759800910949707,0.01641123273229021,0.6,balanced,ovo,scale,linear,,"{'C': 0.6, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.711864406779661,0.673469387755102,0.6348122866894198,0.6552901023890785,0.6804123711340206,0.6712141882673943,0.025804086782436345,203,0.7412467976088813,0.757679180887372,0.7485080988917306,0.7536231884057971,0.734468085106383,0.7471050701800328,0.008369933348498167
0.7863999843597412,0.04213690447507144,0.12080373764038085,0.012209371364449158,0.6,balanced,ovo,auto,linear,,"{'C': 0.6, 'class_weight': 'balanced', 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'linear'}",0.711864406779661,0.673469387755102,0.6348122866894198,0.6552901023890785,0.6804123711340206,0.6712141882673943,0.025804086782436345,203,0.7412467976088813,0.757679180887372,0.7485080988917306,0.7536231884057971,0.734468085106383,0.7471050701800328,0.008369933348498167
