mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2351966381072998,0.011178933432415127,0.020600557327270508,0.0004900780740588706,True,balanced,gini,8,sqrt,2,50,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 0}",0.7142857142857143,0.75,0.7252252252252253,0.6486486486486487,0.6968325791855203,0.7070979335130279,0.03389276032332542,734,0.7862767154105736,0.7806524184476941,0.7901234567901234,0.7934904601571269,0.7769058295964125,0.7854897760803861,0.00605285688301462
0.4371936798095703,0.011229075229235084,0.04040131568908691,0.0033824340265306042,True,balanced,gini,8,sqrt,2,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 0}",0.71875,0.75,0.7477477477477478,0.6486486486486487,0.7104072398190046,0.7151841868823001,0.03668184066653374,610,0.7784026996625422,0.7874015748031497,0.7991021324354658,0.7845117845117845,0.765695067264574,0.7830226517355032,0.010968421253688914
0.7289998531341553,0.03123650771002324,0.07220072746276855,0.004354804254778711,True,balanced,gini,8,sqrt,2,150,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150, 'random_state': 0}",0.7366071428571429,0.7589285714285714,0.7252252252252253,0.6576576576576577,0.7149321266968326,0.7187780772686433,0.03383445237904203,507,0.7840269966254219,0.7919010123734533,0.7991021324354658,0.7912457912457912,0.7690582959641256,0.7870668457288514,0.010190480126980974
0.9670002460479736,0.050506633711663154,0.09020113945007324,0.010685274720826633,True,balanced,gini,8,sqrt,2,200,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 0}",0.7276785714285714,0.7633928571428571,0.7207207207207207,0.6621621621621622,0.7013574660633484,0.7151841868823001,0.03322624328057539,610,0.7907761529808774,0.7896512935883014,0.797979797979798,0.7968574635241302,0.773542600896861,0.7897614617939936,0.008740566048670146
0.25919880867004397,0.025562378000184287,0.026399946212768553,0.004271017661548862,True,balanced,gini,8,sqrt,5,50,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 0}",0.7142857142857143,0.7589285714285714,0.7342342342342343,0.6531531531531531,0.7104072398190046,0.7142857142857143,0.03505550226929864,631,0.7592800899887514,0.7761529808773904,0.7665544332210998,0.7800224466891134,0.757847533632287,0.7679714968817285,0.008856696073649445
0.5485999584197998,0.05691925876479461,0.05619955062866211,0.012797671702259091,True,balanced,gini,8,sqrt,5,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 0}",0.7142857142857143,0.7633928571428571,0.7252252252252253,0.6441441441441441,0.7013574660633484,0.7097933513027853,0.03877535042022804,698,0.750281214848144,0.7795275590551181,0.77665544332211,0.7755331088664422,0.7623318385650224,0.7688658329313673,0.011017114994866501
0.7769996643066406,0.0433689632212067,0.06460084915161132,0.004456408965817197,True,balanced,gini,8,sqrt,5,150,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 150, 'random_state': 0}",0.7098214285714286,0.7678571428571429,0.7117117117117117,0.6576576576576577,0.6923076923076923,0.7079964061096137,0.0357616786000642,721,0.7626546681664792,0.7739032620922385,0.7800224466891134,0.7833894500561167,0.7556053811659192,0.7711150416339734,0.01048717909923927
0.9849993228912354,0.03925288815838758,0.09060072898864746,0.019847275613403024,True,balanced,gini,8,sqrt,5,200,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 0}",0.7142857142857143,0.7678571428571429,0.7117117117117117,0.6621621621621622,0.7013574660633484,0.7115902964959568,0.033863575467502294,679,0.7705286839145107,0.7795275590551181,0.7845117845117845,0.7845117845117845,0.7544843049327354,0.7747128233851865,0.011330674647025116
0.21440000534057618,0.010782677586859817,0.02279949188232422,0.0027130318597472316,True,balanced,gini,8,log2,2,50,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 50, 'random_state': 0}",0.7098214285714286,0.7633928571428571,0.7252252252252253,0.6576576576576577,0.7058823529411765,0.7124887690925427,0.034111994633845885,662,0.7986501687289089,0.8076490438695163,0.792368125701459,0.8181818181818182,0.7982062780269058,0.8030110869017216,0.0090226177038794
0.42020153999328613,0.04041404893562496,0.043599176406860354,0.00361144786590038,True,balanced,gini,8,log2,2,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 0}",0.71875,0.7767857142857143,0.7387387387387387,0.6711711711711712,0.7104072398190046,0.7232704402515723,0.034676715046742836,384,0.8087739032620922,0.8200224971878515,0.8148148148148148,0.8215488215488216,0.7926008968609866,0.8115521867349134,0.010480399378845326
