mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_multi_class,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.22399959564208985,0.013432911128971657,0.007000064849853516,0.0037941084063988777,0.1,balanced,1000,ovr,l2,0,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 0, 'solver': 'lbfgs'}",0.6830357142857143,0.7321428571428571,0.7297297297297297,0.6441441441441441,0.6877828054298643,0.6954177897574124,0.032757910768941925,39,0.7266591676040495,0.7289088863892014,0.7138047138047138,0.755331088664422,0.726457399103139,0.7302322511131051,0.013627790401222698
9.315993070602417,0.12461084544772383,0.01040196418762207,0.00567849156446647,0.1,balanced,1000,ovr,l2,0,sag,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 0, 'solver': 'sag'}",0.6830357142857143,0.6919642857142857,0.7297297297297297,0.6441441441441441,0.6832579185520362,0.6864330637915543,0.02722311997799539,49,0.7244094488188977,0.6794150731158605,0.7138047138047138,0.7564534231200898,0.7174887892376681,0.7183142896194459,0.024600452188317773
0.42840113639831545,0.025570765637342237,0.003801918029785156,0.0007496928155108995,0.1,balanced,1000,ovr,l2,0,newton-cg,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 0, 'solver': 'newton-cg'}",0.6830357142857143,0.7321428571428571,0.7297297297297297,0.6441441441441441,0.6877828054298643,0.6954177897574124,0.032757910768941925,39,0.7266591676040495,0.7289088863892014,0.7138047138047138,0.755331088664422,0.726457399103139,0.7302322511131051,0.013627790401222698
0.1488028049468994,0.02978908357739085,0.007194614410400391,0.0060753116640244464,0.1,balanced,1000,multinomial,l2,0,lbfgs,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 0, 'solver': 'lbfgs'}",0.6517857142857143,0.7232142857142857,0.6981981981981982,0.6261261261261262,0.6787330316742082,0.6756513926325247,0.034094476780679665,66,0.7210348706411699,0.718785151856018,0.7059483726150393,0.745230078563412,0.7006726457399103,0.7183342238831099,0.015467543321908682
12.373190879821777,5.312691424802771,0.0033987998962402345,0.0004918129193910937,0.1,balanced,1000,multinomial,l2,0,sag,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 0, 'solver': 'sag'}",0.6517857142857143,0.7098214285714286,0.6936936936936937,0.6081081081081081,0.6742081447963801,0.6675651392632524,0.03548989649143762,74,0.7210348706411699,0.7131608548931384,0.7014590347923682,0.7160493827160493,0.7017937219730942,0.710699573003164,0.007825579579394
0.18619537353515625,0.034126934167044855,0.0032033443450927733,0.0003983177907861617,0.1,balanced,1000,multinomial,l2,0,newton-cg,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 0, 'solver': 'newton-cg'}",0.6517857142857143,0.7232142857142857,0.6981981981981982,0.6261261261261262,0.6787330316742082,0.6756513926325247,0.034094476780679665,66,0.7210348706411699,0.718785151856018,0.7059483726150393,0.745230078563412,0.7006726457399103,0.7183342238831099,0.015467543321908682
0.11820034980773926,0.01967264065805822,0.003600406646728516,0.0010195716617584223,0.1,,1000,ovr,l2,0,lbfgs,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 0, 'solver': 'lbfgs'}",0.6875,0.7053571428571429,0.7297297297297297,0.6666666666666666,0.7420814479638009,0.706199460916442,0.027355643165243713,19,0.7581552305961755,0.7547806524184477,0.7497194163860831,0.7564534231200898,0.7331838565022422,0.7504585158046077,0.009086465970617219
0.6296036243438721,0.03096122743806895,0.003995847702026367,0.0008979115327564112,0.1,,1000,ovr,l2,0,sag,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 0, 'solver': 'sag'}",0.6875,0.7053571428571429,0.7297297297297297,0.6666666666666666,0.7420814479638009,0.706199460916442,0.027355643165243713,19,0.7581552305961755,0.7547806524184477,0.7497194163860831,0.7564534231200898,0.7331838565022422,0.7504585158046077,0.009086465970617219
0.40941529273986815,0.046081768377471986,0.004184532165527344,0.0011713485273239736,0.1,,1000,ovr,l2,0,newton-cg,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 0, 'solver': 'newton-cg'}",0.6875,0.7053571428571429,0.7297297297297297,0.6666666666666666,0.7420814479638009,0.706199460916442,0.027355643165243713,19,0.7581552305961755,0.7547806524184477,0.7497194163860831,0.7564534231200898,0.7331838565022422,0.7504585158046077,0.009086465970617219
0.143800687789917,0.016632881471565532,0.0034001350402832033,0.0004882050013240359,0.1,,1000,multinomial,l2,0,lbfgs,"{'C': 0.1, 'class_weight': None, 'max_iter': 1000, 'multi_class': 'multinomial', 'penalty': 'l2', 'random_state': 0, 'solver': 'lbfgs'}",0.6919642857142857,0.7276785714285714,0.7297297297297297,0.6846846846846847,0.7420814479638009,0.7151841868823001,0.022612490577328892,5,0.7671541057367829,0.7649043869516311,0.7609427609427609,0.7687991021324355,0.7522421524663677,0.7628085016459957,0.00590411767623088
