mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_objective,param_random_state,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14.14371600151062,0.18279848078966493,0.05215344429016113,0.03305344408339932,0.1,3,100,multi:softmax,0,0.5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 0.5}",0.7053571428571429,0.7410714285714286,0.7567567567567568,0.6891891891891891,0.7737556561085973,0.7331536388140162,0.03149772475274908,8,0.813273340832396,0.81214848143982,0.8092031425364759,0.8237934904601572,0.8038116591928252,0.8124460228923349,0.006551435195291449
14.73446536064148,0.34309348824471536,0.04400372505187988,0.0306313893420019,0.1,3,100,multi:softmax,0,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 0.8}",0.7098214285714286,0.75,0.7522522522522522,0.7027027027027027,0.7601809954751131,0.7349505840071878,0.023795029427730634,5,0.8267716535433071,0.8155230596175478,0.8069584736251403,0.8226711560044894,0.8150224215246636,0.8173893528630296,0.006838328254688707
15.111895513534545,0.22159270157371624,0.07888894081115723,0.008518337071378102,0.1,3,100,multi:softmax,0,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 1}",0.7053571428571429,0.7366071428571429,0.7432432432432432,0.6666666666666666,0.751131221719457,0.7205750224618149,0.031078599827174536,29,0.8188976377952756,0.8188976377952756,0.8058361391694725,0.8080808080808081,0.8071748878923767,0.8117774221466416,0.0058573383425290365
21.486176681518554,0.6118800745106894,0.03760251998901367,0.014610746503230986,0.1,3,150,multi:softmax,0,0.5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 0.5}",0.7142857142857143,0.7455357142857143,0.7567567567567568,0.6801801801801802,0.755656108597285,0.7304582210242587,0.02943855215386239,13,0.8402699662542182,0.8301462317210349,0.8294051627384961,0.8406285072951739,0.8262331838565022,0.8333366103730849,0.005955445394263603
23.721743965148924,0.5105238511278691,0.05929198265075684,0.015265468391388957,0.1,3,150,multi:softmax,0,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 0.8}",0.7098214285714286,0.7544642857142857,0.7522522522522522,0.6846846846846847,0.751131221719457,0.7304582210242587,0.02827027080821367,13,0.8526434195725534,0.843644544431946,0.8406285072951739,0.8518518518518519,0.8340807174887892,0.8445698081280628,0.006994602921586966
22.546055269241332,0.4024703126226658,0.05921502113342285,0.01946349732483142,0.1,3,150,multi:softmax,0,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 1}",0.7008928571428571,0.7455357142857143,0.7522522522522522,0.6846846846846847,0.7601809954751131,0.7286612758310872,0.030108423362341964,20,0.8323959505061868,0.8323959505061868,0.8282828282828283,0.8305274971941639,0.8217488789237668,0.8290702210826266,0.003961480644683165
28.69427309036255,0.40695652360527895,0.058601760864257814,0.015629242039850097,0.1,3,200,multi:softmax,0,0.5,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 0.5}",0.7053571428571429,0.7410714285714286,0.7477477477477478,0.6891891891891891,0.7647058823529411,0.7295597484276729,0.02794449929934529,18,0.8515185601799775,0.8526434195725534,0.8484848484848485,0.8619528619528619,0.8553811659192825,0.8539961712219049,0.004551270361377354
30.24416160583496,0.46044660921013275,0.05136685371398926,0.021270721717535742,0.1,3,200,multi:softmax,0,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 0.8}",0.7098214285714286,0.75,0.7477477477477478,0.6891891891891891,0.7420814479638009,0.7277628032345014,0.024113501846281707,22,0.8605174353205849,0.8661417322834646,0.8641975308641975,0.8742985409652076,0.8531390134529148,0.8636588505772739,0.006930993471466402
31.04607834815979,0.4928498965388977,0.0576268196105957,0.02366099891694403,0.1,3,200,multi:softmax,0,1,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 1}",0.6919642857142857,0.7455357142857143,0.7387387387387387,0.6666666666666666,0.7420814479638009,0.7169811320754716,0.03185155456769025,32,0.8515185601799775,0.8492688413948256,0.8417508417508418,0.8417508417508418,0.8419282511210763,0.8452434672395126,0.004265394519195155
20.23535623550415,0.9394716935302538,0.05063791275024414,0.01863849321508592,0.1,5,100,multi:softmax,0,0.5,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'objective': 'multi:softmax', 'random_state': 0, 'subsample': 0.5}",0.7053571428571429,0.75,0.7612612612612613,0.7027027027027027,0.7737556561085973,0.738544474393531,0.02921344736589643,2,0.8650168728908887,0.8695163104611924,0.8698092031425365,0.8810325476992144,0.8721973094170403,0.8715144487221744,0.005294892209393971
