mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.21800589561462402,0.02544374742763034,0.017798471450805663,0.0019402606002434325,True,balanced,gini,8,sqrt,2,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 0}",0.7276785714285714,0.7366071428571429,0.7387387387387387,0.6756756756756757,0.7149321266968326,0.7187780772686433,0.02308436852197846,370,0.8188976377952756,0.8166479190101237,0.8024691358024691,0.8148148148148148,0.7892376681614349,0.8084134351168236,0.011151211822001614
0.3466012001037598,0.018616639091381566,0.025599241256713867,0.0014964136716575146,True,balanced,gini,8,sqrt,2,150,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 150, 'random_state': 0}",0.7455357142857143,0.7455357142857143,0.7342342342342343,0.6711711711711712,0.7285067873303167,0.7250673854447439,0.027697278376353673,267,0.8087739032620922,0.8312710911136107,0.8058361391694725,0.8114478114478114,0.8015695067264574,0.8117796903438889,0.010282346557213908
0.4701986789703369,0.01375988121358994,0.03360295295715332,0.0024185313269931546,True,balanced,gini,8,sqrt,2,200,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 0}",0.7321428571428571,0.7589285714285714,0.7342342342342343,0.6756756756756757,0.7330316742081447,0.7268643306379156,0.02745092789806085,236,0.8042744656917885,0.8245219347581553,0.8024691358024691,0.8159371492704826,0.8015695067264574,0.8097544384498706,0.009015583217041538
0.2341991901397705,0.014659206945374386,0.017199039459228516,0.001329026880136731,True,balanced,gini,8,sqrt,5,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 0}",0.7321428571428571,0.75,0.7252252252252253,0.6801801801801802,0.7013574660633484,0.7178796046720575,0.024434303187834558,378,0.7941507311586051,0.7874015748031497,0.7822671156004489,0.7901234567901234,0.7679372197309418,0.7843760196166538,0.009082000019928652
0.34400029182434083,0.005329012650572854,0.025200748443603517,0.002787944233348638,True,balanced,gini,8,sqrt,5,150,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 150, 'random_state': 0}",0.7321428571428571,0.7455357142857143,0.7342342342342343,0.6666666666666666,0.7104072398190046,0.7178796046720575,0.027972394018628388,378,0.7896512935883014,0.8008998875140607,0.7777777777777778,0.7934904601571269,0.781390134529148,0.7886419107132829,0.00831147307053691
0.4776008129119873,0.03710347861906833,0.03780121803283691,0.010512683258739282,True,balanced,gini,8,sqrt,5,200,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 0}",0.71875,0.7589285714285714,0.7342342342342343,0.6666666666666666,0.7104072398190046,0.7178796046720575,0.030444247547402842,378,0.7862767154105736,0.7919010123734533,0.7800224466891134,0.7890011223344556,0.773542600896861,0.7841487795408915,0.006598304384836086
0.22440404891967775,0.015565177930248192,0.016997051239013673,0.0017883259892010081,True,balanced,gini,8,log2,2,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 0}",0.7008928571428571,0.7633928571428571,0.7252252252252253,0.6531531531531531,0.7375565610859729,0.7160826594788859,0.037350065204362175,407,0.8391451068616423,0.8470191226096738,0.8282828282828283,0.8361391694725028,0.8340807174887892,0.8369333889430873,0.006167891673416743
0.28800020217895506,0.01840881091300036,0.025198888778686524,0.0017208672741529818,True,balanced,gini,8,log2,2,150,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 150, 'random_state': 0}",0.7098214285714286,0.7544642857142857,0.7387387387387387,0.6801801801801802,0.7420814479638009,0.7250673854447439,0.02678336775012502,267,0.8368953880764904,0.8447694038245219,0.8395061728395061,0.8406285072951739,0.8408071748878924,0.8405213293847169,0.002542334532837392
0.3653998374938965,0.009352039119900747,0.03479771614074707,0.001719315253561493,True,balanced,gini,8,log2,2,200,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 0}",0.71875,0.7633928571428571,0.7567567567567568,0.6666666666666666,0.7420814479638009,0.7295597484276729,0.03495051200381898,187,0.8402699662542182,0.8357705286839145,0.8417508417508418,0.8406285072951739,0.82847533632287,0.8373790360614036,0.004896782426909184
0.1752007484436035,0.00584685638696701,0.016399431228637695,0.0013555192181742253,True,balanced,gini,8,log2,5,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 0}",0.7142857142857143,0.7410714285714286,0.7117117117117117,0.6666666666666666,0.7104072398190046,0.7088948787061995,0.023915204689625907,504,0.7941507311586051,0.8065241844769404,0.8069584736251403,0.8035914702581369,0.8026905829596412,0.8027830884956927,0.004617559348039655
